movie_companies.id,movie_companies.movie_id,movie_companies.company_id,movie_companies.company_type_id,movie_companies.note
787106,3320147,1469,1,(1951) (USA) (theatrical) (presents) (as Warner Bros. Pictures)
789113,3322730,1986,1,(2011) (worldwide) (all media) (presents)
796860,3331415,1986,1,(????) (USA) (theatrical) (presents)
790776,3324658,21496,1,(1938) (UK) (theatrical) (presents)
795198,3329283,4583,1,(1947) (USA) (theatrical) (presents) (copyright owners)
792206,3359968,28953,1,(2005) (worldwide) (video) (presents)
822389,3360613,34018,1,(2001) (USA) (theatrical) (presents)
815402,3353187,20718,1,(2017) (USA) (theatrical) (presents)
819958,3357775,26314,1,(2003) (USA) (theatrical) (presents) (in association with)
799206,3334501,21399,1,(1956) (USA) (TV) (presents) (as Associated Artists Productions Inc.)
802619,3338599,30990,1,(2012) (worldwide) (all media) (presents)
816743,3354874,33203,1,(2015) (USA) (all media) (presents)
822392,3360613,34019,1,(2001) (USA) (theatrical) (presents)
823935,3362287,4583,1,(1982) (USA) (theatrical) (presents)
830719,3370334,24807,1,"(1955) (USA) (TV) (presents) (as C & C Films, Inc.)"
863168,3408392,427,1,(1994) (USA) (TV) (presents) (as HBO)
832282,3371907,2531,1,"(????) (USA) (TV) (presents) (as RHI Entertainment, Inc.)"
836765,3377508,36010,1,(1980) (Armenia) (theatrical) (presents)
839669,3380737,36427,1,(1971) (Italy) (theatrical) (presents) (as La D. I. F. I. also)
839958,3357775,10859,1,(2003) (USA) (theatrical) (presents) (as HBOFilms)
843537,3386200,36940,1,(2014) (worldwide) (DVD) (presents)
853795,3398589,1469,1,(1933) (USA) (theatrical) (presents) (as Warner Bros. Pictures Inc.)
874721,3420473,18257,1,(1944) (UK) (theatrical) (presents) (as Columbia)
867482,3412421,39895,1,(2012) (USA) (video) (presents)
869680,3415111,2531,1,"(????) (USA) (TV) (presents) (as RHI Entertainment, Inc.)"
874520,3420319,1469,1,(1931) (USA) (theatrical) (presents) (as The Vitaphone Corporation)
874523,3420322,1469,1,(1932) (USA) (theatrical) (presents) (as The Vitaphone Corporation)
868234,3413497,2531,1,"(????) (USA) (TV) (presents) (as RHI Entertainment, Inc.)"
872739,3418175,22611,1,(1959) (UK) (theatrical) (presents) (as Eros Films Ltd)
875700,3421218,2531,1,"(????) (USA) (TV) (presents) (as RHI Entertainment, Inc.)"
880778,3427630,16800,1,(1959) (USA) (theatrical) (presents) (as Allied Artists Pictures Corporation)
877713,3423514,2531,1,"(????) (USA) (TV) (presents) (as RHI Entertainment, Inc.)"
877988,3423875,41035,1,(1938) (worldwide) (all media) (presents)
897932,3445634,2531,1,"(????) (USA) (TV) (presents) (as RHI Entertainment, Inc.)"
892339,3440603,22611,1,(1950) (UK) (theatrical) (presents) (as Eros Films Ltd)
910079,3458074,2531,1,"(????) (USA) (TV) (presents) (as RHI Entertainment, Inc.)"
903305,3451117,4583,1,(1980) (USA) (theatrical) (presents)
902881,3450625,334,1,"(1967) (USA) (TV) (presents) (as Multicom Entertainment Group, Inc.)"
904338,3452260,22611,1,(1957) (UK) (theatrical) (presents)
920470,3469253,21242,1,(1919) (USA) (theatrical) (presents) (as Pathe)
913247,3461368,44655,1,(2013) (USA) (video) (presents)
922889,3472080,2531,1,"(????) (USA) (TV) (presents) (as RHI Entertainment, Inc.)"
927982,3477218,3003,1,(1938) (USA) (theatrical) (presents) (as Columbia Pictures Corporation)
927677,3476883,27260,1,(1963) (UK) (theatrical) (presents) (as Bryanston) (as A British Lion - Bryanston Release through BLC also)
933718,3483054,3003,1,(1950) (USA) (theatrical) (presents) (Columbia Pictures Corporation)
931720,3481511,46493,1,(1956) (USA) (theatrical) (presents)
932943,3482596,14399,1,(1971) (USA) (theatrical) (presents) (as Scotia-Barber Distributors Ltd.)
934963,3484485,46780,1,(2014) (USA) (all media) (presents)
934110,3483446,21399,1,(????) (USA) (TV) (presents) (as a.a.p.)
936649,3486051,12733,1,(1963) (UK) (theatrical) (presents) (as Anglo Amalgamated)
936707,3486028,12733,1,(1963) (UK) (theatrical) (presents) (as Anglo Amalgamated)
936740,3486041,12733,1,(1965) (UK) (theatrical) (presents) (as Anglo Amalgamated)
936820,3486067,12733,1,(1966) (UK) (theatrical) (presents) (as Anglo Amalgamated)
936828,3486070,12733,1,(1964) (UK) (theatrical) (presents) (as Anglo Amalgamated)
936838,3486071,12733,1,(1959) (UK) (theatrical) (presents) (as Anglo Amalgamated Film DistributorsLtd)
936858,3486074,12733,1,(1960) (UK) (theatrical) (presents) (as Anglo Amalgamated Film DistributorsLtd)
936726,3486039,12733,1,(1964) (UK) (theatrical) (presents) (as Anglo Amalgamated)
942636,3492047,27213,1,(2013) (Canada) (all media) (presents)
944552,3494274,21999,1,(1950) (UK) (theatrical) (as British Lion Film Corporation Limited) (presents)
951385,3502367,21399,1,(1956) (USA) (TV) (presents) (as a.a.p.)
950573,3501387,2531,1,"(????) (USA) (TV) (presents) (as RHI Entertainment, Inc.)"
962005,3514362,23637,1,(1942) (UK) (theatrical) (re-release) (presents) (as Associated British Film Distributors Ltd.)
963993,3516857,1469,1,(1986) (Non-USA) (theatrical) (presents) (as Warner Bros. Pictures A Warner Communications Company)
967834,3521078,30990,1,(2014) (USA) (all media) (presents)
966423,3519651,1469,1,(1933) (USA) (theatrical) (presents) (as Warner Bros. Pictures Inc.)
973681,3528442,10717,1,(2015) (USA) (all media) (presents)
969663,3523132,45789,1,(2005) (France) (DVD) (as Eklipse) (presents)
971532,3525771,27260,1,(1960) (UK) (theatrical) (presents) (as Bryanston) (in association with also)
967788,3521033,49976,1,(1968) (USA) (theatrical) (presents) (as 'White Comanche')
968722,3522090,40489,1,(1951) (UK) (TV) (presents)
976937,3532246,22611,1,(1941) (UK) (theatrical) (presents) (as Eros Films Ltd)
976983,3532298,22629,1,(1937) (UK) (theatrical) (presents) (as British Independent Exhibitors {Distribution} Co Ltd)
976924,3532242,50871,1,(2013) (Australia) (video) (presents)
986183,3542291,18197,1,(2013) (worldwide) (all media) (presents)
977829,3533197,2531,1,"(????) (USA) (TV) (presents) (as RHI Entertainment, Inc.)"
985441,3541061,51618,1,(2008) (Dominican Republic) (all media) (presents)
995431,3552302,44777,1,(2005) (worldwide) (all media) (presents) (as Foxsearchlab)
986409,3542635,36940,1,(2014) (worldwide) (DVD) (presents)
1024249,3583199,55091,1,(2015) (Netherlands) (all media) (presents)
998310,3555157,52725,1,(????) (USA) (TV) (presents) (as Western Television)
1003209,3560705,53171,1,(2016) (China) (video) (presents)
1003211,3560707,53173,1,(2017) (China) (all media) (presents)
1004434,3562295,53297,1,(2015) (Netherlands) (theatrical) (presents)
1007951,3565308,53667,1,(1974) (USA) (theatrical) (presents) (as Europix International Ltd.)
1024638,3583596,1469,1,(1943) (USA) (theatrical) (presents) (as Warner Bros. Pictures Inc.)
1036551,3596795,27260,1,(1962) (UK) (theatrical) (presents) (as Bryanston)
1051856,3614702,19400,1,(1962) (UK) (theatrical) (presents) (as Warner Pathe Ltd.)
1037768,3598454,35011,1,(2006) (UK) (theatrical) (presents)
1038730,3599436,2531,1,"(????) (USA) (TV) (presents) (as RHI Entertainment, Inc.)"
1046499,3609020,27260,1,(1962) (UK) (theatrical) (presents) (as Bryanston)
1049466,3612170,27260,1,(1961) (UK) (theatrical) (presents) (as Bryanston) (in association with) (as Bryanston Films Ltd. also)
1049777,3612482,26515,1,(1937) (USA) (theatrical) (presents) (as Ambassador Film Productions Ltd.)
1077213,3647096,43469,1,(2015) (Russia) (all media) (presents)
1052677,3615176,32378,1,(1965) (UK) (theatrical) (presents) (as Regal Films International Limited)
1060621,3623709,26516,1,(1936) (UK) (theatrical) (presents) (as Twickenham Film Distributors TFD)
1076617,3646590,11384,1,(1960) (USA) (theatrical) (presents)
1093860,3668544,7365,1,(2009) (USA) (theatrical) (presents)
1078099,3648113,16065,1,(2008) (USA) (all media) (presents)
1090389,3664341,41035,1,(1939) (worldwide) (all media) (presents)
1102448,3677698,61744,1,(2015) (USA) (all media) (presents)
1097996,3672859,61418,1,(2014) (worldwide) (video) (presents)
1099975,3675328,8257,1,(1935) (USA) (theatrical) (presents) (as R.K.O. Radio Pictures)
1101647,3676866,41035,1,(1939) (worldwide) (all media) (presents)
1093813,3668455,41035,1,(1972) (worldwide) (all media) (presents)
1097881,3672726,51917,1,(2015) (China) (video) (presents)
1106446,3681957,40634,1,(1974) (France) (theatrical) (presents) (as Luso France)
1119537,3697280,19576,1,(????) (USA) (TV) (presents)
1115079,3692297,10047,1,(????) (USA) (TV) (presents)
1116937,3693968,62750,1,(2015) (UK) (all media) (presents)
1121218,3699664,63064,1,(1944) (USA) (all media) (presents)
1120792,3698769,63033,1,(1950) (worldwide) (all media) (presents)
1122454,3700347,4068,1,(????) (USA) (TV) (presents)
1150383,3730138,1469,1,(1956) (USA) (theatrical) (as Warner Bros. Pictures) (presents)
1139893,3719236,8082,1,(2014) (India) (all media) (presents)
1150074,3729856,21478,1,(1943) (USA) (theatrical) (presents) (as Monogram Pictures Corporation also)
1132521,3711434,42628,1,(1934) (USA) (theatrical) (states rights system) (presents) (as Spectrum Pictures Corporation)
1141268,3720629,58,1,(presents)
1152313,3732256,65258,1,(1992) (worldwide) (video) (presents)
1152317,3732256,65259,1,(1992) (worldwide) (video) (presents)
1152318,3732256,3365,1,(1992) (worldwide) (video) (presents) (in association with)
1156020,3735952,43942,1,(????) (USA) (TV) (presents) (as Raymond Rohauer Archive)
1161736,3741767,65824,1,(2014) (India) (all media) (presents)
1158197,3738333,2531,1,"(????) (USA) (TV) (presents) (as RHI Entertainment, Inc.)"
1159214,3739177,1469,1,(1933) (USA) (theatrical) (presents)
1162382,3742358,287,1,(1939) (USA) (theatrical) (presents) (controlled by Loew's Incorporated)
1165359,3745710,27914,1,(2002) (USA) (all media) (presents)
1177421,3759356,24853,1,(1968) (Italy) (theatrical) (presents)
1168816,3749769,66316,1,(1971) (UK) (all media) (presents)
1173193,3754464,36544,1,(1999) (USA) (VHS) (as Greenwood Cooper Home Video) (presents)
1173194,3754464,36544,1,(1999) (USA) (DVD) (as Greenwood Cooper Home Video) (presents)
1188988,3771677,30982,1,(2009) (worldwide) (DVD) (presents)
1184861,3767084,27914,1,(2004) (USA) (all media) (presents)
1199668,3781759,27914,1,(2003) (USA) (TV) (presents)
1193009,3775366,2531,1,"(????) (USA) (TV) (presents) (as RHI Entertainment, Inc.)"
1192884,3775216,1732,1,(2008) (USA) (TV) (presents) (2008 alternate version)
1205327,3788523,2531,1,"((????)) (USA) (TV) (presents) (as RHI Entertainment, Inc.)"
1214371,3797848,65258,1,(1992) (worldwide) (all media) (presents) (1992 alternate version)
1209834,3793464,24807,1,"(1955) (USA) (TV) (presents) (as C & C Films, Inc.) (as C & C Television Corp. also)"
1207047,3790289,68701,1,(1983) (USA) (all media) (presents)
1211377,3794990,287,1,(2012) (USA) (theatrical) (presents)
1213935,3797528,22559,1,(2003) (Spain) (video) (presents) (as International Film Grup)
1214375,3797848,65259,1,(1992) (worldwide) (all media) (presents) (1992 alternate version)
1216396,3799388,16800,1,(1959) (USA) (theatrical) (presents) (as Allied Artists Pictures Corporation)
1215300,3798697,22611,1,(1957) (UK) (theatrical) (presents) (as Eros Films Ltd)
1230218,3815439,21399,1,"(1946) (USA) (theatrical) (presents) (as Associated Artists Productions, Inc.)"
1220597,3804396,69460,1,(2012) (India) (all media) (presents)
1228413,3809914,24383,1,(2015) (USA) (theatrical) (presents)
1230031,3815269,56134,1,(2014) (USA) (all media) (presents)
1228811,3810892,24958,1,(1960) (Italy) (theatrical) (presents)
1228840,3810905,29227,1,(1967) (Italy) (theatrical) (dubbed) (presents) (as Cidif)
1255185,3843385,34823,1,(1964) (USA) (theatrical) (presents) (as Independent-International Pictures Corp.)
1244675,3833626,21999,1,(1942) (UK) (theatrical) (presents) (as British Lion Film CorpnLtd.)
1249037,3836052,71288,1,(2000) (USA) (TV) (co-production)
1234337,3820430,11681,1,(2014) (worldwide) (all media) (presents)
1272720,3864180,27415,1,(1962) (UK) (theatrical) (presents)
1258669,3847470,1698,1,(1938) (USA) (theatrical) (20th Century Fox) (presents)
1259288,3848434,381,1,(1992) (worldwide) (all media) (presents) (in association with) (1992 alternate version)
1259297,3848434,3365,1,(1992) (worldwide) (all media) (presents) (1992 alternate version)
1259330,3848464,1469,1,(1940) (USA) (theatrical) (presents) (as Warner Bros. Pictures Inc.)
1264089,3853733,263,1,(2015) (USA) (DVD) (presents)
1292152,3888020,22611,1,(1956) (UK) (theatrical) (presents) (as Eros Films Ltd)
1276571,3868077,11265,1,(2010) (USA) (all media) (presents)
1276807,3868241,44650,1,(1945) (UK) (theatrical) (presents) (as G. C. F.)
1282883,3874504,42322,1,(2014) (worldwide) (all media) (presents)
1300149,3896223,17501,1,(1993) (USA) (all media) (presents)
1298863,3895469,34552,1,(2006) (Germany) (DVD) (presents)
1343855,3943488,77269,1,(2007) (USA) (all media) (presents)
1303169,3899317,395,1,(2009) (Switzerland) (TV) (co-production)
1303170,3899317,63,1,(2010) (Germany) (TV) (co-production)
1334444,3932756,24958,1,(1958) (Italy) (theatrical) (presents)
1337623,3936114,22569,1,(1966) (France) (theatrical) (presents)
1337626,3936114,21727,1,(1966) (France) (theatrical) (presents)
1341753,3940757,26515,1,(1937) (UK) (theatrical) (presents) (as Ambassador Film Productions Ltd.)
1300344,3896327,26515,1,(1952) (UK) (theatrical) (presents) (as Ambassador Film Productions Limited)
1324725,3921867,24383,1,(2015) (USA) (theatrical) (presents)
1328993,3926694,9019,1,(1969) (Italy) (theatrical) (presents) (as La Titanus)
1330920,3928833,24383,1,(2015) (USA) (theatrical) (presents)
1335621,3934050,24958,1,(1962) (Italy) (theatrical) (presents)
1349391,3948688,22569,1,(1962) (France) (TV) (presents)
1347549,3955122,77533,1,(2009) (France) (all media) (presents)
1345505,3945571,2531,1,"(????) (USA) (TV) (presents) (as RHI Entertainment, Inc.)"
1349396,3948688,21727,1,(1962) (France) (theatrical) (presents)
1375831,3976631,79079,1,(2010) (Italy) (video) (co-production)
1354138,3952933,23313,1,(1952) (France) (theatrical) (presents)
1374320,3974631,1572,1,(1996) (Canada) (all media) (presents) (as Alliance Communications)
1374321,3974631,14755,1,(200?) (China) (DVD) (presents)
1374322,3974631,23372,1,(1997) (UK) (all media) (presents)
1353478,3952337,24383,1,(2015) (worldwide) (theatrical) (presents)
1364110,3962572,76088,1,(1974) (France) (theatrical) (presents) (as Albina Productions Distribution)
1368073,3966618,28345,1,(2013) (worldwide) (all media) (presents)
1394264,3998858,27260,1,(1962) (UK) (theatrical) (presents) (as Bryanston)
1376697,3977718,1469,1,(1939) (USA) (theatrical) (presents) (as Warner Bros.Pictures Inc.)
1382657,3984000,26791,1,(1946) (UK) (theatrical) (presents) (as Monarch Film Corporation Ltd.) (as Monarch Film corp. also)
1382165,3983559,25181,1,(1948) (UK) (theatrical) (presents)
1402557,4005957,80746,1,(2014) (worldwide) (all media) (presents)
1402305,4005542,33308,1,(1970) (USA) (theatrical) (dubbed) (presents) (as Four Star-Excelsior)
1421309,4027498,1469,1,(1935) (USA) (theatrical) (presents)
1414227,4019518,2872,1,(1988) (USA) (TV) (presents)
1422290,4028594,2531,1,"(????) (USA) (TV) (presents) (as RHI Entertainment, Inc.)"
1427042,4034609,21999,1,(1943) (UK) (theatrical) (re-release) (presents) (as British Lion Film Corpn. Ltd.)
1425881,4032733,82096,1,(2014) (India) (video) (presents)
1424973,4031739,63033,1,(1964) (worldwide) (all media) (presents)
1427110,4034755,2531,1,"(????) (USA) (TV) (presents) (as RHI Entertainment, Inc.)"
1429092,4036865,1469,1,(1934) (USA) (theatrical) (presents) (as The Vitaphone Corporation)
1428979,4036773,287,1,(1958) (USA) (theatrical) (controlled by Loew's Incorporated) (presents)
1427450,4034791,25803,1,(1938) (UK) (theatrical) (presents) (as Butcher's Film Service Ltd.)
1441490,4051134,6631,1,(2011) (worldwide) (TV) (presents)
1431978,4040465,1469,1,(2007) (USA) (theatrical) (presents) (A Time-Warner Company)
1439302,4049209,67068,1,(2011) (France) (all media) (co-production)
1443032,4053499,83222,1,(2015) (Brazil) (all media) (presents)
1456044,4067455,45997,1,(2006) (USA) (theatrical) (presents)
1448702,4059427,1469,1,(1932) (USA) (theatrical) (presents) (as The Vitaphone Corporation)
1450019,4060981,26574,1,"(2005) (USA) (all media) (as Embrem Entertainment, LLC) (presents)"
1482604,4100753,2531,1,"(????) (USA) (TV) (presents) (as RHI Entertainment, Inc.)"
1458516,4070690,26645,1,(1952) (UK) (theatrical) (presents) (as Famous Films {London} Ltd.)
1464115,4076968,21608,1,(2009) (USA) (theatrical) (presents) (A News Corporation Company)
1473924,4089087,84946,1,(2015) (worldwide) (all media) (presents)
1474450,4089732,1469,1,(1939) (USA) (theatrical) (presents) (as Warner Bros.)
1494093,4113573,24246,1,(2001) (worldwide) (video) (presents)
1483133,4101128,26791,1,(1951) (UK) (theatrical) (presents) (as Monarch Film Corporation Ltd.) (world distribution by) (as Monarch Film Corporation Ltd)
1489295,4106092,85836,1,(2013) (Spain) (all media) (presents)
1490715,4109591,38272,1,(2017) (worldwide) (all media) (as Vasyl' Stus Donetsk National University) (presents)
1493291,4112617,22611,1,(1956) (UK) (theatrical) (presents) (as Eros Films Ltd)
1489060,4107588,22611,1,(1949) (UK) (theatrical) (presents) (as Eros Films Ltd)
1496120,4116264,27914,1,(2004) (worldwide) (all media) (presents) (2004 alternate version)
1504169,4127332,30605,1,(2011) (UK) (all media) (co-production)
1497773,4118582,25470,1,(2004) (USA) (DVD) (presents)
1508315,4133923,1469,1,"(1939) (USA) (theatrical) (presents) (Warner Bros. Pictures, Inc.)"
1506746,4130382,3003,1,(1968) (USA) (theatrical) (presents)
1511154,4135735,2531,1,"(????) (USA) (TV) (presents) (as RHI Entertainment, Inc.)"
1510112,4134535,18197,1,(2013) (worldwide) (all media) (presents)
1526544,4154473,88033,1,(2015) (Mexico) (video) (presents)
1525315,4152679,2531,1,"(????) (USA) (TV) (presents) (as RHI Entertainment, Inc.)"
1520666,4147866,2531,1,"(????) (USA) (TV) (presents) (as RHI Entertainment, Inc.)"
1534517,4164320,22611,1,(1956) (UK) (theatrical) (presents) (as Eros Films Ltd)
1534536,4164370,62521,1,(2016) (worldwide) (all media) (presents)
1538133,4168537,26314,1,(1998) (USA) (theatrical) (presents) (A Time Warner Company)
1536981,4167123,88607,1,(1942) (UK) (theatrical) (presents)
1544883,4176319,24383,1,(2015) (USA) (theatrical) (presents)
1546230,4178165,259,1,(2003) (USA) (TV) (original airing) (presents)
1546526,4178502,1469,1,(1933) (USA) (theatrical) (presents) (as Warner Bros. Pictures Inc.)
1553167,4186185,89456,1,(2002) (worldwide) (all media) (restored version) (presents)
1548723,4181312,73612,1,(2011) (South Africa) (DVD) (presents)
1563496,4198912,25265,1,(2014) (USA) (all media) (presents)
1555782,4189325,89597,1,(1998) (Japan) (theatrical) (presents)
1562351,4197560,63033,1,(1937) (USA) (all media) (presents)
1556572,4190013,24191,1,(1974) (USA) (theatrical) (presents)
1605622,4249096,1469,1,(1930) (USA) (theatrical) (presents)
1564695,4200570,1469,1,(1939) (USA) (theatrical) (presents)
1596340,4239617,92011,1,(2015) (worldwide) (video) (presents)
1596615,4239766,92020,1,(2015) (UK) (all media) (presents)
1570781,4207906,66316,1,(1971) (UK) (all media) (presents)
1596840,4240228,92045,1,(1994) (USA) (all media) (presents)
1611262,4253693,86478,1,(2011) (Greece) (all media) (presents)
1607430,4250801,32631,1,(1979) (France) (theatrical) (presents)
1613543,4255863,92781,1,(2015) (worldwide) (all media) (presents)
1611195,4253600,22611,1,(1957) (UK) (theatrical) (presents) (as Eros Films Ltd) (distributed throughout the world by) (as Eros Films Ltd also)
1616723,4260035,92951,1,(2012) (USA) (all media) (presents)
1614442,4257131,26801,1,(2014) (worldwide) (video) (presents)
1633665,4279361,1469,1,(1957) (USA) (theatrical) (presents) (as Warner Bros. Pictures)
1620428,4264005,93125,1,(2014) (worldwide) (all media) (presents)
1623429,4267305,48907,1,(1973) (Poland) (TV) (presents)
1623430,4267305,684,1,(1973) (Poland) (TV) (presents)
1623766,4267655,93314,1,(1990) (worldwide) (all media) (in association with) (presents) (1990 alternate version) (as Trustees of the Harold Lloyd Estate for Channel Four)
1623767,4267655,65258,1,(1990) (worldwide) (all media) (presents) (1990 alternate version)
1623772,4267655,65259,1,(1990) (worldwide) (all media) (presents) (1990 alternate version)
1623774,4267655,3365,1,(1990) (worldwide) (all media) (in association with) (presents) (1990 alternate version)
1621988,4369221,93223,1,(2012) (USA) (all media) (presents)
1625561,4269963,18404,1,(2012) (USA) (theatrical) (presents)
1631089,4276615,6191,1,(2015) (USA) (all media) (presents)
1631703,4277199,27260,1,(1960) (UK) (theatrical) (presents) (as Bryanston) (in association with) (as Bryanston Films Ltd also)
1639594,4284872,94079,1,(2015) (USA) (DVD) (presents)
1638333,4283766,2531,1,"(????) (USA) (TV) (presents) (as RHI Entertainment, Inc.)"
1648682,4295934,24383,1,(2015) (USA) (theatrical) (presents)
1646928,4293998,21608,1,(2005) (USA) (theatrical) (presents) (as Fox Searchlight Films)
1647894,4295034,28345,1,(2014) (worldwide) (all media) (presents)
1681504,4331473,1469,1,"(1947) (USA) (theatrical) (presents) (as Warner Bros. Pictures, Inc.)"
1671405,4320386,95710,1,(2012) (USA) (all media) (presents)
1653474,4300950,94830,1,(2011) (USA) (DVD) (presents)
1657816,4305171,25803,1,(1941) (UK) (theatrical) (presents) (as Butcher's Film Service Limited)
1670448,4319114,21541,1,(1953) (UK) (theatrical) (presents) (as Twentieth Century-Fox)
1707007,4359000,1732,1,(2006) (USA) (TV) (presents) (a Flicker Alley digital edition) (2006 alternate version)
1686708,4337745,14763,1,(1936) (USA) (theatrical) (presents) (as Grand National) (distributed by: Grand National Films Inc.) (states rights system)
1691936,4343517,27260,1,(1961) (UK) (theatrical) (presents) (as Bryanston) (in association with) (as Bryanston Films Ltd. also)
1693277,4344967,65258,1,(1992) (worldwide) (all media) (presents) (1992 alternate version)
1693282,4344967,65259,1,(1992) (worldwide) (all media) (presents) (1992 alternate version)
1709674,4361606,33696,1,(1954) (USA) (TV) (presents)
1714327,4367066,4583,1,(1971) (USA) (theatrical) (presents) (A Gulf + Western Company)
1712467,4364514,27260,1,(1962) (UK) (theatrical) (presents) (as Bryanston)
1710524,4362648,287,1,(1938) (USA) (theatrical) (presents)
1725638,4379586,2531,1,(????) (USA) (TV) (presents) (as RHI Entertainment Inc.)
1745923,4401885,99369,1,(2015) (USA) (all media) (presents)
1735217,4390569,8257,1,"(1947) (USA) (theatrical) (presents) (as RKO Radio Pictures, Inc.)"
1735145,4390624,8257,1,(1943) (USA) (video) (presents) (as Edgar Rice Burrough's Tarzan Triumphs) (copyright MCMXLIII)
1735466,4390635,1698,1,(1938) (USA) (theatrical) (presents) (as Twentieth Century-Fox Film Corporation)
1761232,4415262,12733,1,(1965) (UK) (theatrical) (presents) (as Anglo Amalgamated)
1749360,4405245,17211,1,(2015) (USA) (theatrical) (presents)
1757963,4412498,13199,1,(2013) (worldwide) (all media) (presents)
1748188,4404247,63033,1,(1950) (worldwide) (all media) (presents)
1758137,4412624,27260,1,(1959) (UK) (theatrical) (presents) (as Bryanston) (in association with) (as Bryanston Films Ltd also)
1779384,4430289,1469,1,(1955) (USA) (theatrical) (presents)
1765080,4418023,2531,1,(????) (USA) (TV) (presents)
1766941,4419431,27260,1,(1960) (UK) (theatrical) (presents) (as Bryanston) (in association with) (as Bryanston Films Limited also)
1775246,4426418,287,1,(1938) (USA) (theatrical) (controlled by Loew's Incorporated) (presents)
1777835,4428969,10858,1,(????) (USA) (theatrical) (presents)
1774219,4425603,2531,1,"(????) (USA) (TV) (presents) (as RHI Entertainment, Inc.)"
1784330,4434132,33075,1,(2015) (USA) (theatrical) (presents)
1786959,4436081,28065,1,(????) (USA) (VHS) (presents)
